,id_crmsociete,csoc_societe,csoc_intervention,csoc_type,csoc_metiers,csoc_web,csoc_tel,csoc_ville,csoc_pays,csoc_date,id_profil,id_societe,id_pole,id_action_previous,id_action_next,id_provenance,csoc_cp
116,1065,Shiseido Europe SA,Autres,0,,https://www.shiseido.fr/fr/fr/?gclid=Cj0KCQjw2qKmBhCfARIsAFy8buJqECR4yb3eKLHRMWaEptB2VGEaBb1wjdidIBW,01 86 76 50 00,Paris,France,2023-08-01T11:27:25+0200,60,1,20,,,14,75008
117,1064,SAS Verlingue,Assurance,0,,https://www.verlingue.fr/mentions-legales/,02 98 76 44 44,Quimper Cedex,France,2023-08-01T11:18:58+0200,60,1,20,,,14,29335
118,1063,SAMSE HOLDING,Bâtiments,0,,https://www.groupe-samse.fr,01 77 49 24 5,Grenoble,France,2023-08-01T11:08:39+0200,60,1,20,,,14,38100
119,1061,Absys Cyborg Paris Pour Pedrero,Autres,0,,https://www.absyscyborg.com/fr/societe/nos-agences/paris,01 47 36 51 75,Issy-les Moulineaux,France,2023-08-01T09:42:13+0200,60,1,20,,,14,92130
120,1060,Ordre National Des Médecins,Secteur public,0,,https://www.conseil-national.medecin.fr,01 53 89 32 00,Paris Cedex 17,France,2023-08-01T09:33:23+0200,60,1,20,,,14,75855
121,1059,Département du Rhône,Autres,0,,https://www.annuaire-administration.com/conseil-general/conseil-departemental-rhone-cg-69383-01.html,,Ain,France,2023-08-01T09:22:54+0200,60,1,20,,,14,
122,125,KUEHNE NAGEL ROAD,Logistique,0,,https://fr.kuehne-nagel.com,04 74 62 79 79,Feusisberg,Suisse,2016-05-17T11:35:47+0200,17,1,,,,14,8834
123,1056,ING Bank N.V.,Banque,0,,https://www.ing.com/Home.htm,01 57 22 54 00,MG Amsterdam,Pays_Bas,2023-07-31T14:24:41+0200,60,1,20,,,14,1102
124,1055,Igesa,Autres,0,,https://www.igesa.fr/accueil,05 33 05 39 21,Bastia,France,2023-07-31T14:14:58+0200,60,1,20,,,14,20200
125,1054,Homeserve,Oil & Gaz,0,,https://www.homeserve.fr,01 70 82 17 69,Lyon,France,2023-07-31T11:25:15+0200,60,1,20,,,14,69007
126,1052,Groupe Editor,Autres,0,,https://groupe-editor.com,04 42 97 54 00,Aix-en-Provence,France,2023-07-31T10:01:07+0200,60,1,20,,,14,13852
127,1049,Gaz Electricité de Grenoble,Oil & Gaz,0,,https://particuliers.geg.fr,04 76 84 20 00,Grenoble Cedex 09,France,2023-07-31T09:33:16+0200,60,1,20,,,14,38042
128,1048,Fonciere Logement,Bâtiments,0,,https://www.foncierelogement.com,05 56 38 24 49,Paris Cedex 15,France,2023-07-31T09:23:06+0200,60,1,20,,,14,75749
129,1047,Fipagest,Autres,0,,http://www.fipagest.com,03 26 47 15 53,Ceyzériat,France,2023-07-31T09:12:19+0200,60,1,20,,,14,01250
130,339,GROUPE HERVE,Immobilier,1,Ex MCIROPOLE,www.groupeherve.com,02 47 68 20 00,JOUE LES TOURS,France,2018-12-17T12:29:53+0100,12,1,,,,14,37300
131,144,ELLISPHERE,Banque,2,,https://www.ellisphere.com,04 72 85 10 00,LYON,France,2016-11-22T17:02:44+0100,17,1,,,,14,69009
132,21,ECONOCOM,Conseil,7,,https://www.econocom.com/fr,,Courtaboeuf Cedex,France,2016-01-10T10:16:35+0100,12,1,,,,14,91948
133,1044,CSP Lapeyre Industrie,Industrie,0,,https://www.lapeyre.fr/c/h/usines,01 48 11 74 00,Aubervilliers,France,2023-07-28T08:24:24+0200,60,1,20,,,14,93300
134,1043,American Hospital Of Paris,Servies hospitaliers,0,,https://www.american-hospital.org,01 46 41 25 25,Neuilly-sur-Seine,France,2023-07-28T08:11:33+0200,60,1,20,,,14,92200
135,364,UTC-HVAC (ex CIAT),Autres,2,,https://www.ciat.com/fr/fr/,04 72 56 95 00,,Etats_Unis,2019-06-18T15:10:01+0200,17,1,,,,14,
136,1041,Cegema,Assurance,0,,"https://cegecour.cegema.com/MentionsLegales.wp#:~:text=Si%20un%20désaccord%20persiste%2C%20vous,%2C%",04 92 02 08 50,Villeneuve-Loubet Cedex,France,2023-07-27T14:44:44+0200,60,1,20,,,14,06272
137,324,C.C.P.A.,Agroalimentaire,1,Ex ASI,www.groupe-ccpa.com,02 99 47 53 00,JANZE,France,2018-11-29T17:57:37+0100,71,1,,,,14,35150
138,1040,Banque Edmond De Rothschild,Banque,0,,https://www.edmond-de-rothschild.com/fr/Pages/default.aspx,05 56 44 20 66,Monaco,France,2023-07-27T14:24:15+0200,60,1,20,,,14,98000
139,1039,Azur Production,,0,,,,Onville,France,2023-07-27T14:14:50+0200,60,1,20,,,14,54890
140,702,ACCESSITE,Autres,0,,https://accessite.eu,01 43 27 27 77,Marseille Cedex 02,France,2021-05-26T07:23:56+0200,17,1,,,,14,13304
141,1036,Intrum Justicia GRC,Autres,0,,,,Stockholm,Suede,2023-07-27T13:39:49+0200,60,1,20,,,14,105 24
142,1035,Groupe IES,Automobile,0,,,,Colmar,France,2023-07-27T13:27:17+0200,60,1,20,,,14,68000
143,211,METROPOLE DE NANTES,Secteur public,1,,https://metropole.nantes.fr/contact,02 40 41 90 00,NANTES,France,2017-11-15T08:50:30+0100,17,1,,,,14,44200
144,1032,La Provence,Autres,0,,https://www.laprovence.com,04 91 84 45 45,Marseille 15,France,2023-07-27T10:59:58+0200,60,1,20,,,14,13015
145,1031,Porcher Industries,Chimie,0,,https://www.porcher-ind.com/fr,04 75 66 92 22,Chavanoz,France,2023-07-27T10:45:54+0200,60,1,20,,,14,38300
146,1070,ISES,Autres,0,,,04 74 57 72 26,Vienne Cedex,France,2023-08-01T14:48:59+0200,60,1,20,,,14,38203
147,1069,Yack,Environnement,0,,https://www.yack.fr/La-societe-YACK/L-entreprise,,Saint-Cyr-Sur-Mer,France,2023-08-01T14:33:54+0200,60,1,20,,,14,83270
148,1062,SA HLM UNICIL,Immobilier,0,,https://www.unicil.fr,04 91 13 91 13,Marseille,France,2023-08-01T11:00:46+0200,60,1,20,,,14,13006
149,1058,ODLM,Autres,0,,https://www.seaport-odlm.com/page.html?monoBloc=authentification,04 72 52 02 20,Dardilly,France,2023-08-01T09:14:47+0200,60,1,20,,,14,69570
150,917,HEPPNER,,1,CREDIT AGRICOLE,,0141835363,ROSNY SOUS BOIS,France,2023-04-03T15:42:30+0200,78,1,,,,-1,93110
151,547,Lyon Métropole Habitat,Immobilier,0,,https://www.lmhabitat.fr/home.html,04 78 71 61 00,Lyon,France,2020-07-15T17:28:24+0200,12,1,,,,14,69433
152,884,KEOLIS BORDEAUX METROPOLE MOBILITES,Logistique,1,CREDIT AGRICOLE,https://www.keolis-bordeaux-metropole.com,05 57 57 88 00,BORDEAUX CEDEX,France,2023-01-03T15:11:55+0100,1291,1,,,,14,33082
153,1053,Guilde des Lunetiers,Autres,0,,https://www.krys-group.com,01 30 88 19 19,Bazainville,France,2023-07-31T11:16:29+0200,60,1,20,,,14,78550
154,328,TIPIAK SA,Agroalimentaire,1,"Ex ASI
CAISSE D'EPARGNE 
(attention paie encore sur BNP en 02/2023 et en 07/2023. 
Mail envoyé à la compta pour modif.)",www.tipiak.fr,02 28 03 09 30,Saint Herblain,France,2018-12-05T16:55:58+0100,71,1,,,,10,44806
155,1051,Grand Chambery,Autres,0,,https://www.grandchambery.fr,04 79 96 86 00,Chambéry,France,2023-07-31T09:51:46+0200,60,1,20,,,14,73026
156,1050,GIE PS,Assurance,0,,https://www.asaf-afps.fr,04 89 88 36 36,Biot,France,2023-07-31T09:42:40+0200,60,1,20,,,14,06410
157,1046,Edilians,Autres,0,,https://edilians.com,03 84 44 14 33,Dardilly,France,2023-07-28T08:53:52+0200,60,1,20,,,14,69570
158,1045,Centre Hospitalier de Périgueux,Servies hospitaliers,0,,https://www.ch-perigueux.fr/patients-et-visiteurs-3.html,05 53 45 25 25,Périgueux,France,2023-07-28T08:33:59+0200,60,1,20,,,14,24000
